2010,Josemaria,M,37
2011,Savannahrose,F,5
2011,Onalee,F,10
2012,Kaylem,M,9
2010,Babyboy,M,14
2010,Reeya,F,17
2013,Jaeonna,F,7
2011,Ellise,F,24
2013,Kenlee,F,141
2012,Hunnie,F,6
2011,Maryjane,F,212
2011,Paiyton,F,6
2012,Lyndsi,F,7
2010,Sondra,F,7
2010,Jalyiah,F,10
2010,Catalena,F,7
2012,Leomar,M,9
2011,Donavin,M,63
2012,Meta,F,9
2013,Christien,M,13
2012,Meleane,F,5
2011,Hina,F,17
2011,Micky,M,15
2011,Guerin,M,5
2011,Salimatou,F,5
2011,Azalyn,F,7
2010,Aiza,F,53
2013,Kiele,F,15
2012,Deniyah,F,33
2011,Kosei,M,5
2011,Merideth,F,11
2012,Eliah,F,20
2010,Kelcie,F,47
2010,Kowen,M,21
2011,Wendi,F,8
2011,Amilcar,M,19
2012,Kali,M,16
2013,Zayliah,F,5
2011,Zakir,M,23
2012,Kawan,M,7
2010,Enzi,M,7
2012,Ziggy,M,27
2013,Khamiya,F,10
2010,Abner,M,162
2010,Dorothy,F,239
2010,Myna,F,6
2011,Cambridge,M,6
2011,Keeyon,M,7
2013,Reiley,F,13
2012,Ruqayya,F,5
2012,Jeron,M,37
2010,Bry,M,5
2010,Arlette,F,148
2013,Keiton,M,14
2012,Ayme,F,17
2013,Stori,F,38
2011,Jaeden,M,255
2013,Isac,M,74
2010,Aybree,F,8
2011,Sydnee,F,240
2013,Mally,F,9
2011,Zuleyma,F,24
2012,Braxtyn,F,25
2010,Aleiah,F,31
2010,Damion,M,332
2010,Alaynna,F,36
2011,Ellora,F,27
2013,Paola,F,421
2013,Abdulloh,M,8
2011,Sparsh,M,8
2013,Kera,F,28
2011,Refoel,M,8
2010,Tayshaun,M,57
2010,Treyvion,M,24
2012,Zaryk,M,5
2010,Dreydon,M,12
2013,Endsley,F,5
2012,Aailyah,F,10
2013,Brighton,F,94
2011,Irais,F,11
2013,Janila,F,7
2010,Eric,F,7
2010,Markeise,M,6
2012,Catcher,M,8
2011,Florentino,M,16
2012,Kendon,M,28
2010,Mahdiya,F,7
2013,Venancio,M,9
2013,Eiven,M,5
2013,Arnez,M,21
2012,Davison,M,15
2011,Coy,F,5
2013,Cortlyn,F,12
2011,Hitomi,F,7
2013,Sosaia,M,8
2011,Arsh,M,22
2011,Dilan,F,7
2011,Bernardino,M,8
2010,Hartley,F,88
2011,Kaylem,M,8
2011,Jovanny,M,181
2012,Kenley,F,610
2010,Elona,F,26
2013,Bethsaida,F,6
2012,Jenavi,F,9
2011,Amora,F,142
2013,Riyad,M,19
2013,Kezia,F,58
2012,Dimani,M,5
2012,Precious,F,155
2013,Maclan,M,5
2013,Denym,F,6
2013,Else,F,12
2010,Damein,M,22
2011,Agustine,M,7
2013,Aleeya,F,88
2011,Jazz,M,22
2010,Bradlie,F,5
2011,Jhariel,M,5
2013,Kaimana,M,34
2013,Danielis,F,6
2012,Eliud,M,35
2010,Dev,M,114
2011,Chesky,M,10
2010,Alysah,F,6
2013,Joliyah,F,10
2011,Cannan,M,6
2010,Britten,F,9
2013,Zanna,F,17
2010,Evelett,F,7
2011,Graysyn,M,6
2010,Brahm,M,9
2010,Kie,M,8
2012,Jarek,M,59
2011,Benson,M,314
2010,Kairav,M,8
2010,Brittyn,F,28
2011,Bailey,F,3301
2011,Myriam,F,49
2010,Aishat,F,9
2012,Ariabella,F,8
2011,Alaire,F,5
2010,Barney,M,6
2013,Johntavious,M,5
2012,Carmon,F,9
2010,Jadore,M,14
2011,Kye,F,8
2010,Kaira,F,58
2010,Hudson,F,63
2011,Nicolina,F,29
2012,Kotaro,M,7
2011,Katia,F,133
2013,Damarkus,M,12
2012,Muaad,M,11
2011,Tyrion,M,18
2012,Anaka,F,10
2013,Shahd,F,34
2011,Sumire,F,5
2011,Cloud,M,25
2012,Emelio,M,5
2011,Amillia,F,28
2011,Jarius,M,34
2011,Zlaty,F,8
2011,Izaias,M,11
2011,Kiyan,F,12
2011,Alexyss,F,5
2012,Devyne,F,6
2010,Breeze,F,22
2012,Gerardo,M,815
2013,Davari,M,6
2011,Kimyra,F,6
2012,Roselie,F,8
2011,Nilan,M,5
2013,Jasiel,F,5
2010,Weslynn,F,10
2010,Siddhant,M,31
2011,Aleiya,F,14
2012,Deray,M,6
2013,Vidit,M,10
2013,Nariah,F,162
2012,Lyanna,F,46
2012,Seanmichael,M,9
2010,Laynee,F,76
2012,Anzal,F,10
2010,Adamarys,F,9
2010,Keeson,M,5
2011,Joei,F,17
2011,Calab,M,11
2012,Dmitriy,M,24
2013,Yuto,M,19
2012,Caden,M,2679
2010,Meilah,F,5
2011,Aamya,F,5
2011,Oakland,M,12
2010,Darragh,M,11
2011,Jarelyn,F,9
2012,Hershel,M,34
2011,Tiana,F,817
2010,Rayanna,F,84
2011,Kaikoa,M,5
2010,Jannali,F,5
2010,Sreeya,F,5
2013,Amyrikal,F,5
2010,Corra,F,7
2010,Elijha,M,35
2010,Alyxa,F,5
2013,Conway,M,39
2012,Kelsee,F,29
2011,Kathya,F,14
2012,Xela,F,11
2013,Isabella,M,18
2010,Raphaela,F,9
2013,Decklin,M,11
2012,Keyandre,M,9
2010,Eli,M,6548
2012,Khalil,M,614
2012,Naiyana,F,5
2011,Karlos,M,47
2011,Eniyah,F,52
2012,Lloyd,M,127
2012,Greylan,M,7
2013,Naliyah,F,60
2010,Keerthana,F,18
2010,Decklan,M,14
2010,Ruben,M,1101
2012,Donnel,M,6
2010,Kimaya,F,47
2011,Karnell,M,7
2011,Kolbi,F,38
2013,Elenna,F,12
2012,Kamali,M,5
2011,Decker,M,36
2010,Tonatiuh,M,14
2013,Yarixa,F,5
2011,Zamarian,M,7
2012,Jackob,M,7
2010,Su,F,9
2011,Jaykob,M,58
2011,Cowen,M,6
2012,Htoo,M,6
2011,Jessa,F,222
2011,Riely,M,7
2013,Rivky,F,72
2012,Kytana,F,5
2012,Thurman,M,9
2011,Addylin,F,5
2010,Baldo,M,5
2012,Piya,F,9
2010,Lestat,M,37
2012,Annarae,F,7
2012,Geraldo,M,31
2012,Piero,M,13
2013,Alathea,F,5
2013,Ahmia,F,10
2011,Jessah,F,8
2010,Juliana,F,2124
2012,Fia,F,29
2012,Faithanne,F,5
2012,Markelle,M,6
2013,Dayton,M,336
2010,Zani,F,8
2013,Liyu,F,8
2011,Madelynne,F,53
2010,Iyani,F,8
2013,Spencer,F,178
2011,Eesa,M,19
2013,Eknoor,F,13
